                                                                                                name                times
                                                                                                   a                    2 

                                                                   Chicken with Coconut Curry Sauce                     1 

                                                        Pan-Seared Steak with Mushroom-Merlot Sauce                     1 

                                                                    Mussels with Parsley and Garlic                     2 

                                                                                               menux                    1 

                                                                          Ecuadoran Tamarillo Salsa                     1 

                                             Scallops with Tarragon Cream and Wilted Butter Lettuce                     1 

                                                             Grilled Pork Sausages with Spiced Figs                     1 

                                                                          Scallop and Shrimp Creole                     1 

                                                                Michael Lewis's Cassoulet de Canard                     1 

                                                                                       Apple Sorbet                     1 

                                                                     Butternut Squash and Sage Orzo                     1 

